source_index,source_name,target_index,target_name,fixed_value
0,AAHead_yaw,0,AAHead_yaw,
1,Head_pitch,1,Head_pitch,
2,ALeft_Shoulder_Pitch,2,ALeft_Shoulder_Pitch,0.0
3,Left_Shoulder_Roll,3,Left_Shoulder_Roll,-1.3
4,Left_Elbow_Pitch,4,Left_Elbow_Pitch,0.0
5,Left_Elbow_Yaw,5,Left_Elbow_Yaw,-0.0
6,ARight_Shoulder_Pitch,6,ARight_Shoulder_Pitch,0.0
7,Right_Shoulder_Roll,7,Right_Shoulder_Roll,1.3
8,Right_Elbow_Pitch,8,Right_Elbow_Pitch,0.0
9,Right_Elbow_Yaw,9,Right_Elbow_Yaw,0.0
10,Left_Hip_Pitch,10,Left_Hip_Pitch,
11,Left_Hip_Roll,11,Left_Hip_Roll,
12,Left_Hip_Yaw,12,Left_Hip_Yaw,
13,Left_Knee_Pitch,13,Left_Knee_Pitch,
14,Left_Ankle_Pitch,14,Left_Ankle_Pitch,
15,Left_Ankle_Roll,15,Left_Ankle_Roll,
16,Right_Hip_Pitch,16,Right_Hip_Pitch,
17,Right_Hip_Roll,17,Right_Hip_Roll,
18,Right_Hip_Yaw,18,Right_Hip_Yaw,
19,Right_Knee_Pitch,19,Right_Knee_Pitch,
20,Right_Ankle_Pitch,20,Right_Ankle_Pitch,
21,Right_Ankle_Roll,21,Right_Ankle_Roll,
